instance,algorithm,run_id,best_cost,decades,seed
eil51,EA,5,440.0,5100,7209141
eil51,EA,6,448.0,5100,7209158
eil51,EA,7,456.0,5100,7209175
eil51,EA,8,445.0,5100,7209192
eil51,EA,9,443.0,5100,7209209
eil51,EA,10,449.0,5100,7209226
eil51,EA,11,441.0,5100,7209243
eil51,EA,12,447.0,5100,7209260
eil51,EA,13,450.0,5100,7209277
eil51,EA,14,431.0,5100,7209294
eil51,EA,15,461.0,5100,7209311
eil51,EA,16,452.0,5100,7209328
eil51,EA,17,452.0,5100,7209345
eil51,EA,18,448.0,5100,7209362
eil51,EA,19,452.0,5100,7209379
eil51,EA,20,466.0,5100,7209396
eil51,EA,21,453.0,5100,7209413
eil51,EA,22,443.0,5100,7209430
eil51,EA,23,459.0,5100,7209447
eil51,EA,24,454.0,5100,7209464
eil51,EA,25,437.0,5100,7209481
eil51,EA,26,444.0,5100,7209498
eil51,EA,27,445.0,5100,7209515
eil51,EA,28,453.0,5100,7209532
eil51,EA,29,456.0,5100,7209549
eil51,ICA,0,456.0,5100,7209005
eil51,ICA,1,441.0,5100,7209022
eil51,ICA,2,441.0,5100,7209039
eil51,ICA,3,444.0,5100,7209056
eil51,ICA,4,449.0,5100,7209073
eil51,ICA,5,447.0,5100,7209090
eil51,ICA,6,443.0,5100,7209107
eil51,ICA,7,435.0,5100,7209124
eil51,ICA,8,449.0,5100,7209141
eil51,ICA,9,445.0,5100,7209158
eil51,ICA,10,443.0,5100,7209175
eil51,ICA,11,449.0,5100,7209192
eil51,ICA,12,464.0,5100,7209209
eil51,ICA,13,450.0,5100,7209226
eil51,ICA,14,441.0,5100,7209243
eil51,ICA,15,440.0,5100,7209260
eil51,ICA,16,458.0,5100,7209277
eil51,ICA,17,445.0,5100,7209294
eil51,ICA,18,456.0,5100,7209311
eil51,ICA,19,455.0,5100,7209328
eil51,ICA,20,451.0,5100,7209345
eil51,ICA,21,467.0,5100,7209362
eil51,ICA,22,455.0,5100,7209379
eil51,ICA,23,432.0,5100,7209396
eil51,ICA,24,452.0,5100,7209413
eil51,ICA,25,454.0,5100,7209430
eil51,ICA,26,435.0,5100,7209447
eil51,ICA,27,434.0,5100,7209464
eil51,ICA,28,441.0,5100,7209481
eil51,ICA,29,462.0,5100,7209498
kroA100,SBA,0,22421.0,10000,6979080
kroA100,SBA,1,21932.0,10000,6979097
kroA100,SBA,2,23270.0,10000,6979114
kroA100,SBA,3,22274.0,10000,6979131
kroA100,SBA,4,22830.0,10000,6979148
kroA100,SBA,5,22016.0,10000,6979165
kroA100,SBA,6,22280.0,10000,6979182
kroA100,SBA,7,22700.0,10000,6979199
kroA100,SBA,8,22144.0,10000,6979216
kroA100,SBA,9,23343.0,10000,6979233
kroA100,SBA,10,22571.0,10000,6979250
kroA100,SBA,11,22221.0,10000,6979267
kroA100,SBA,12,22366.0,10000,6979284
kroA100,SBA,13,22223.0,10000,6979301
kroA100,SBA,14,22095.0,10000,6979318
kroA100,SBA,15,22612.0,10000,6979335
kroA100,SBA,16,22621.0,10000,6979352
kroA100,SBA,17,22362.0,10000,6979369
kroA100,SBA,18,22150.0,10000,6979386
kroA100,SBA,19,22144.0,10000,6979403
kroA100,SBA,20,22799.0,10000,6979420
