instance,algorithm,runs,mean,std,min,max,median,known_optimum,gap_percent
berlin52,SBA,3,8873.0,77.1167945391923,8784.0,8920.0,8915.0,7542.0,17.647838769557147
berlin52,EA,3,8432.333333333334,234.853855266064,8178.0,8641.0,8478.0,7542.0,11.805003093785919
berlin52,ICA,3,8980.0,0.0,8980.0,8980.0,8980.0,7542.0,19.066560594006894
eil51,SBA,3,506.6666666666667,4.041451884327381,503.0,511.0,506.0,426.0,18.935837245696405
eil51,EA,3,455.6666666666667,2.516611478423583,453.0,458.0,456.0,426.0,6.964006259780913
eil51,ICA,3,511.0,0.0,511.0,511.0,511.0,426.0,19.953051643192488
