instance,algorithm,runs,mean,std,min,max,median,known_optimum,gap_percent
berlin52,SBA,3,8260.333333333334,67.84049921199971,8182.0,8300.0,8299.0,7542.0,9.524440908689128
berlin52,EA,3,8088.333333333333,279.0005973709256,7767.0,8269.0,8229.0,7542.0,7.2438787235923225
berlin52,ICA,3,9191.0,359.07798595848226,8878.0,9583.0,9112.0,7542.0,21.86422699549191
eil51,SBA,3,465.6666666666667,11.150485789118486,453.0,474.0,470.0,426.0,9.311424100156499
eil51,EA,3,466.0,14.798648586948742,456.0,483.0,459.0,426.0,9.389671361502348
eil51,ICA,3,498.3333333333333,20.79262689833426,483.0,522.0,490.0,426.0,16.97965571205007
