instance,algorithm,run_id,best_cost,decades,seed
berlin52,SBA,0,8299.0,260,416099
berlin52,SBA,1,8182.0,260,416116
berlin52,SBA,2,8300.0,260,416133
berlin52,EA,0,8229.0,260,416041
berlin52,EA,1,7767.0,260,416058
berlin52,EA,2,8269.0,260,416075
berlin52,ICA,0,9583.0,260,416043
berlin52,ICA,1,8878.0,260,416060
berlin52,ICA,2,9112.0,260,416077
eil51,SBA,0,474.0,255,1730099
eil51,SBA,1,453.0,255,1730116
eil51,SBA,2,470.0,255,1730133
eil51,EA,0,456.0,255,1730041
eil51,EA,1,459.0,255,1730058
eil51,EA,2,483.0,255,1730075
eil51,ICA,0,490.0,255,1730043
eil51,ICA,1,522.0,255,1730060
eil51,ICA,2,483.0,255,1730077
